"","a1","a2","a3","a4","a5","a6","a7","a8","a9","a10","a11","a12","a13","a14","a15","a16","a17","a18","a19","a20","a21","a22","a23","a24","a25","a26","a27","a28","a29","a30","X32","X33"
"1639","tomato","butter","cilantro","onion","cayenne","corn","avocado","pepper","black_pepper","garlic","cheddar_cheese","chicken_broth","lime_juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1640","butter","cheese","onion","chicken_broth","cayenne","cumin","garlic","tomato","vegetable_oil","chicken","rice","corn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1641","tomato","vinegar","green_bell_pepper","onion","red_wine","cayenne","cumin","garlic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1642","wheat","vanilla","egg","milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1643","tomato","olive_oil","cilantro","onion","lime_juice","avocado","cumin","cucumber","bell_pepper","chicken",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1644","honey","cilantro","cranberry","cayenne","tequila","lime_juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1645","cheese","pepper","shallot","cayenne","cilantro","shrimp","goat_cheese","bell_pepper","basil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1646","vegetable_oil","cayenne","egg","cheese","bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1647","cane_molasses","butter","coffee","wheat","vanilla","almond","cocoa","cinnamon","egg","milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1648","cane_molasses","vanilla","egg","milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1649","olive_oil","green_bell_pepper","beef","black_pepper","garlic","bell_pepper","oregano","lime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1650","lemon_juice","cayenne","beef","starch",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1651","butter","cheese","cilantro","mushroom","onion","olive_oil","shiitake","cayenne","garlic","oregano","chicken","corn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1652","butter","wheat","mustard","black_pepper","cayenne","cheddar_cheese","egg","milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1653","tomato","wheat","onion","avocado","bacon","scallion","buttermilk","garlic","cream","vegetable_oil","cheddar_cheese","egg","cayenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1654","green_bell_pepper","wheat","onion","corn","cayenne","garlic","vegetable","vegetable_oil","chicken","chicken_broth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1655","tomato","onion","beef","black_pepper","cayenne","cumin","bean","garlic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1656","pork","onion","corn_grit","cabbage","cayenne","lime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1657","tomato","cilantro","lime_juice","chicken_broth","cayenne","scallion","garlic","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1658","tomato","pepper","fish","chicken_broth","cayenne","cumin","leek","garlic","vegetable_oil","corn","lime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1659","tomato","cane_molasses","pepper","beef","onion","vinegar","parsley","tamarind","rice","egg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1660","tomato","pork","wheat","meat","onion","black_pepper","cayenne","cumin","garlic","bell_pepper","oregano","peach","olive",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1661","bacon","chicken","garlic","cream_cheese","cayenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1662","lemon","pineapple","orange","grape","plum","black_tea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1663","tomato","cheese","pepper","lemon_juice","onion","mushroom","black_bean","cayenne","cumin","scallion","garlic","vegetable_oil","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1664","cheese","rice","cayenne","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1665","tomato","beef","onion","cayenne","corn","black_pepper","cumin","garlic","bell_pepper","oregano","olive","cheddar_cheese","egg","milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1666","tomato","olive_oil","pepper","beef","onion","cayenne","celery","vegetable","garlic","basil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1667","turkey","tomato","green_bell_pepper","onion","chicken_broth","cayenne","kidney_bean","rice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1668","cilantro","green_bell_pepper","lime_juice","cumin","scallion","garlic","kidney_bean","olive","vegetable_oil","rice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1669","olive_oil","cilantro","mango","bell_pepper","lime_juice","scallion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1670","cane_molasses","vinegar","onion","cayenne","soy_sauce","tabasco_pepper","garlic","bell_pepper","vegetable_oil","tamarind",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1671","tomato","olive_oil","garlic","onion","corn","cayenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1672","tomato","garlic","beer","cayenne","onion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1673","tomato","olive_oil","cilantro","green_bell_pepper","wheat","onion","cheese","black_pepper","cayenne","garlic","egg","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1674","tomato","bean","garlic","beef","potato","black_pepper","cayenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1675","tomato","olive_oil","cilantro","onion","lime_juice","chicken_broth","cayenne","garlic","macaroni","chicken","rice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1676","butter","wheat","onion","mushroom","cayenne","tabasco_pepper","lard","mozzarella_cheese","chicken","cheddar_cheese","egg","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1677","tomato","wheat","onion","vegetable_oil","garlic","cumin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1678","avocado","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1679","tomato","cheese","onion","beef","cayenne","garlic","bell_pepper","olive","pork_sausage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1680","pork","wheat","onion","corn","cayenne","garlic","lard","beef_broth","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1681","tomato","coriander","fruit","onion","vegetable_oil","corn","cayenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1682","tomato","beef","onion","soy_sauce","garlic","basil","rice","zucchini",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1683","tomato","beef","starch","black_pepper","cayenne","cumin","garlic","vegetable_oil","beef_broth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1684","tomato","pepper","onion","tabasco_pepper","corn","cayenne","shrimp","cucumber","vegetable_oil","lime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1685","tomato","beef","onion","chicken_broth","cayenne","cumin","bay","bean","garlic","bell_pepper","oregano","kidney_bean","corn",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1686","corn","black_pepper","bean","garlic","oregano","olive","tomato","onion","beef","cayenne","cumin","scallion","celery","bell_pepper","lard","cheddar_cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1687","tomato","cheese","pepper","wheat","onion","vinegar","corn","cayenne","garlic","oregano","rice","egg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1688","tequila","beer","lime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1689","cilantro","onion","beef","cayenne","black_pepper","seed","garlic","bell_pepper","oregano","lime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1690","tomato","cilantro","green_bell_pepper","beef","onion","cheddar_cheese","black_pepper","corn","cayenne","garlic","bell_pepper","beef_broth","rice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1691","tomato","olive_oil","pepper","garlic","chicken_broth","cayenne","bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1692","cayenne","bean","bacon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1693","olive_oil","garlic","oregano","beef","cayenne","lime_juice","parsley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1694","tequila","lime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1695","tomato","vinegar","pepper","green_bell_pepper","mustard","onion","cayenne","garlic","bell_pepper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1696","butter","wheat","vanilla","cream","milk","banana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1697","olive_oil","pepper","corn","black_pepper","garlic","oregano","bread","tomato","onion","cayenne","cumin","parmesan_cheese","turkey","macaroni","bell_pepper","basil","vegetable_oil","egg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1698","wheat","lard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1699","pepper","onion","cayenne","corn","lime_juice","cumin","scallion","black_pepper","seed","garlic","oregano","vegetable_oil","tuna","tequila","avocado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1700","tomato","olive_oil","pepper","green_bell_pepper","onion","cayenne","black_pepper","cumin","celery","carrot","garlic","beef_broth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1701","tomato","cheese","wheat","onion","cayenne","cumin","shrimp","garlic","crab","vegetable_oil","scallion","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1702","tomato","vinegar","pepper","green_bell_pepper","onion","beef","corn","garlic","vegetable_oil","rice","celery_oil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1703","tomato","pepper","lemon","olive","avocado","cayenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1704","cane_molasses","wheat","cinnamon","lard","vanilla","egg","milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1705","vinegar","pork","onion","cheese","radish","chicken_broth","avocado","cilantro","cayenne","lettuce","bean","garlic","lard","chicken","bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1706","orange","tequila","lime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1707","tomato","cilantro","green_bell_pepper","onion","black_pepper","cayenne","celery","garlic","oregano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1708","tomato","wheat","onion","beef","yeast","corn","lettuce","bean","lard","olive","cheddar_cheese","egg","milk","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1709","tomato","olive_oil","wheat","onion","cheese","cayenne","ginger","shrimp","garlic","cheddar_cheese",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1710","tomato","cream","onion","cayenne","garlic","cream_cheese","cheddar_cheese","bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1711","cane_molasses","coriander","raisin","almond","black_pepper","cocoa","garlic","oregano","bread","tomato","onion","cayenne","cumin","turkey","cinnamon","vegetable_oil","sesame_seed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1712","tomato","pepper","meat","onion","cayenne","cumin","garlic","lard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1713","tomato","dill","green_bell_pepper","beef","onion","cayenne","cumin","parmesan_cheese","seed","garlic","oregano","bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1714","tomato","cheese","beef","onion","cayenne","bean","garlic","lard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1715","cocoa","gelatin","corn","peanut_butter","coconut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1716","butter","tomato","garlic","onion","cheddar_cheese","cayenne","squash",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1717","black_bean","olive_oil","cilantro","onion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1718","tomato","olive_oil","cilantro","onion","cayenne","pepper","crab","lime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1719","tomato","lemon_juice","onion","tabasco_pepper","soy_sauce","cayenne","scallion","lettuce","garlic","cream_cheese","olive","cheddar_cheese","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1720","vinegar","carrot","cayenne","onion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1721","tomato","pork","wheat","onion","cayenne","cumin","bay","garlic","oregano","lard","egg","milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1722","tomato","cheese","onion","black_bean","black_pepper","cayenne","cumin","garlic","bell_pepper","oregano","chicken","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1723","pepper","chicken_broth","potato","corn","cayenne","cilantro","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1724","pepper","ham","onion","lima_bean","chicken_broth","cayenne","parsley","carrot","garlic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1725","tomato","cheese","beef","onion","black_pepper","corn","cayenne","cumin","scallion","bean","garlic","bell_pepper","oregano","lard","milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1726","tomato","cilantro","meat","beef","chicken_broth","cayenne","onion","cumin","celery","carrot","garlic","oregano","rice","egg","bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1727","kiwi","strawberry","mango","wheat","cinnamon","vegetable_oil","banana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1728","olive_oil","lemon_juice","meat","vinegar","bacon","cayenne","parsley","white_wine","bell_pepper","oregano","basil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1729","tomato","olive_oil","cane_molasses","onion","black_pepper","cayenne","cumin","fennel","garlic","bell_pepper","oregano","pepper","beef_broth","roasted_beef","pork_sausage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1730","tomato","pepper","green_bell_pepper","garlic","onion","beef","rice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1731","tomato","vegetable_oil","wheat","garlic","cayenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1732","tomato","oregano","beef","onion","cayenne","black_pepper","cumin","scallion","lettuce","garlic","bell_pepper","cream_cheese","olive","cheddar_cheese","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1733","tomato","lime_juice","cilantro","cayenne","onion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1734","butter","wheat","lard","vanilla","anise","egg","wine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1735","tomato","olive_oil","pepper","beef","cayenne","cilantro","shrimp","seed","garlic","butter","rice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1736","butter","cane_molasses","wheat","mustard","onion","vinegar","chicken_broth","cayenne","celery","carrot","bell_pepper","smoke","tamarind","cheese","milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1737","bean","garlic","bell_pepper","onion","bacon","cayenne",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1738","butter","pepper","onion","corn","sage","parmesan_cheese","garlic","bell_pepper","vegetable_oil","milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1739","tomato","garlic","black_bean","chicken_broth","cayenne","cumin","scallion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1740","tequila","mango","lime_juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1741","vegetable_oil","pepper","cayenne","onion","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1742","butter","honey","cinnamon","cream_cheese","vanilla","bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1743","wheat","onion","black_pepper","cayenne","cumin","garlic","bell_pepper","oregano","chicken","egg","milk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1744","wheat","oregano","onion","garlic","cayenne","cumin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1745","tomato","olive_oil","pepper","corn","black_pepper","cured_pork","basil","fennel","garlic","oregano","mozzarella_cheese","rosemary","banana","pork_sausage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1746","tomato","cilantro","onion","corn","cayenne","pepper","garlic","vegetable_oil","tuna","lime","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1747","cane_molasses","olive_oil","cayenne","chicken_broth","orange_juice","lime_juice","cumin","garlic","oregano","chicken",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1748","tomato","pepper","cheddar_cheese","onion","beef","cabbage","rice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1749","butter","dill","wheat","cream_cheese","garlic","smoked_salmon","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1750","turkey","green_bell_pepper","wheat","onion","yeast","cayenne","cottage_cheese","fennel","cheddar_cheese","egg","milk","pork_sausage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1751","vinegar","pork","garlic","bell_pepper","oregano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1752","tomato","olive_oil","beef","onion","black_pepper","cayenne","cumin","bean","garlic","oregano",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1753","avocado","corn","cayenne","onion","shrimp",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1754","tomato","olive_oil","corn","parmesan_cheese","mozzarella_cheese","fennel","garlic","basil","pork_sausage",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1755","tomato","vinegar","wheat","mushroom","onion","cheese","cayenne","scallion","garlic","cream_cheese","vegetable_oil","cabbage","chicken",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1756","tomato","cilantro","onion","black_pepper","tabasco_pepper","shrimp","cucumber","lime",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1757","tomato","cheese","bean","wheat","yeast","cayenne","cream",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1758","tomato","tabasco_pepper","corn","cayenne","scallion","garlic","olive","vegetable_oil","cheddar_cheese","egg",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1759","tomato","olive_oil","beef","onion","cayenne","corn","lime_juice","garlic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1760","tomato","pepper","beef","onion","black_bean","corn","cayenne","garlic","egg","bread",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
